detector,dataset,f1,f1_pa_auc,f1_pa,f1_pa_ts_auc,aucpr,aucroc,time
ocsvm,Twitter_volume_UPS.csv,0.24184476940353225,0.30292631019684735,0.9546827794561934,0.05865367920269473,0.09993913984821899,0.8042262228227001,11.141764530999353
dwtmlead,exchange-2_cpm_results.csv,0.5728155339801074,0.6700977758676268,1.0,0.7130630630630631,0.6027589528413501,0.8441427595628416,1.4232449870032724
dwtmlead,exchange-3_cpc_results.csv,0.9090909090904131,0.9249126484975541,1.0,0.43333333333333335,0.8986335693314418,0.9946036161335188,1.4276873230119236
dwtmlead,exchange-4_cpc_results.csv,0.9411764705877369,0.9565217391304348,1.0,0.9911764705882353,0.962762317518248,0.9712818287037037,1.337179054011358
dwtmlead,exchange-4_cpm_results.csv,0.6499999999995555,0.6525007124536905,0.6666666666666666,0.6148148148148147,0.6103574604886193,0.7255727762803235,1.5234889069979545
dwtmlead,ec2_cpu_utilization_5f5533.csv,0.9336734693872554,0.9432185547405597,1.0,0.923170731707317,0.9456303323412699,0.9560132158590308,2.378060088987695
dwtmlead,ec2_cpu_utilization_53ea38.csv,0.7156549520762159,0.8631915357237974,1.0,0.8655844155844157,0.7779106722803459,0.7965969162995595,1.6983048570109531
dwtmlead,ec2_cpu_utilization_fe7f93.csv,0.2597402597400337,0.34429824561403516,0.6666666666666666,0.3614718614718615,0.6109186211798149,0.5741401687216093,2.139591212006053
dwtmlead,ec2_disk_write_bytes_c0d644.csv,0.2346760070050468,0.051814851814851806,0.5214007782101168,0.03105691555092579,0.08498906922004952,0.4691502442023293,2.3033146749949083
dwtmlead,elb_request_count_8c0756.csv,0.8095238095233276,0.9244680851063829,1.0,0.9333333333333333,0.8478273809523811,0.8552973568281939,2.114820199989481
dwtmlead,grok_asg_anomaly.csv,0.7219917012443519,0.8651898734177215,1.0,0.874896265560166,0.796963421692976,0.7824675324675325,4.101478908996796
dwtmlead,rds_cpu_utilization_e47b3b.csv,0.18050541516229063,0.27244708994709,0.9302325581395349,0.07097514722028148,0.20529953879607565,0.5407819383259912,2.4126984699978493
dwtmlead,machine_temperature_system_failure.csv,0.18141025641009145,0.2722102365719387,0.6666666666666666,0.10130607609312892,0.29603287885140595,0.542795753076308,13.952182740991702
dwtmlead,rogue_agent_key_hold.csv,0.18164251207712953,0.0,0.0,0.0,0.04994686503719448,0.4858323494687131,1.26137547698454
