detector,dataset,f1,f1_pa_auc,f1_pa,f1_pa_ts_auc,aucpr,aucroc,time
knn,104_UCR_Anomaly_NOISEapneaecg4_6000_16000_16100.txt,0.0072719259585502655,0.012240152411530416,0.034855350296270474,0.003089807571531,0.002874532158717184,0.4896956697441636,48.71079548448324
knn,023_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z5_5000_8612_8716.txt,0.9122807017538898,0.9120411160058737,1.0,0.9291907514450868,0.9800464137722715,0.9996848786364447,12.091917738318443
knn,156_UCR_Anomaly_TkeepFifthMARS_3500_5988_6085.txt,0.8585858585853589,0.9131568769639836,1.0,0.68,0.9162110711564289,0.9989833295358093,3.1131648793816566
knn,115_UCR_Anomaly_CIMIS44AirTemperature3_4000_6520_6544.txt,0.5405405405400847,0.6544117647058825,1.0,0.126,0.5070318100686578,0.9857572115384616,2.0860342234373093
knn,113_UCR_Anomaly_CIMIS44AirTemperature1_4000_5391_5392.txt,0.009803921568617693,0.0,0.00966183574879227,0.00966183574879227,0.0024630541871921183,0.9517092995457805,2.7131260596215725
knn,036_UCR_Anomaly_DISTORTEDInternalBleeding9_4200_6599_6681.txt,0.13898305084732832,0.13890412731271837,0.2645161290322581,0.03418168880455408,0.04611339514954295,0.7634510035687496,6.633886221796274
knn,095_UCR_Anomaly_NOISECIMIS44AirTemperature4_4000_5549_5597.txt,0.6849315068488646,0.8166666666666667,1.0,0.08877551020408163,0.7348723483942197,0.9912657156673114,2.136636856943369
knn,204_UCR_Anomaly_CHARISfive_12412_15000_15070.txt,0.2843137254899118,0.32534807534807536,0.30501089324618735,0.3005009444033834,0.12375533208697988,0.9925311805787465,16.835800267755985
knn,099_UCR_Anomaly_NOISEInternalBleeding6_1500_3474_3629.txt,0.8654545454540535,0.9629168915905837,1.0,0.9618959107806693,0.956964108972419,0.9986374073098204,3.0928114019334316
knn,119_UCR_Anomaly_ECG1_10000_11800_12100.txt,0.7804878048775498,0.8868975701436435,0.9724473257698542,0.8874013829928902,0.8611969113486502,0.9963109983079527,84.58825666829944
knn,148_UCR_Anomaly_Lab2Cmac011215EPG4_6000_17390_17520.txt,0.49462365591357565,0.5341235632183908,0.858085808580858,0.3205077430820006,0.33698080530117475,0.9925371503496503,37.92084192112088
knn,017_UCR_Anomaly_DISTORTEDECG4_5000_17000_17100.txt,0.6754966887412744,0.8166666666666667,0.5464480874316939,0.5358275791880001,0.7113235167416782,0.9970168674698795,10.510857835412025
knn,041_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG5_7000_17390_17520.txt,0.6185567010304857,0.7794512482336315,1.0,0.4241935483870968,0.5291378031236513,0.808709091402077,38.368728682398796
knn,013_UCR_Anomaly_DISTORTEDECG3_15000_16000_16100.txt,0.8771929824556478,0.8769456681350953,0.8032128514056226,0.8032128514056227,0.9633216638567484,0.9997335570469799,105.24590510874987
knn,024_UCR_Anomaly_DISTORTEDInternalBleeding10_3200_4526_4556.txt,0.9230769230764259,0.9222355769230769,0.8219178082191781,0.821917808219178,0.9703454781769275,0.9997970810895185,3.2198891453444958
knn,067_UCR_Anomaly_DISTORTEDinsectEPG3_5200_7000_7050.txt,0.2561983471071102,0.32276116436940594,0.4444444444444445,0.2828751431844216,0.11060652422543786,0.9591280539174389,2.79139805957675
knn,142_UCR_Anomaly_InternalBleeding6_1500_3474_3629.txt,0.8581818181813262,0.9586959573273443,1.0,0.9618959107806693,0.9531048326264171,0.9984986745102679,2.828095193952322
knn,100_UCR_Anomaly_NOISELab2Cmac011215EPG1_5000_17210_17260.txt,0.99009900990049,0.9895940594059405,0.33333333333333337,0.33333333333333337,0.9996039215686274,0.9999991984289206,16.383190095424652
knn,066_UCR_Anomaly_DISTORTEDinsectEPG2_3700_8000_8025.txt,0.9599999999994999,0.9783113245298118,0.819672131147541,0.818688524590164,0.9763464646464648,0.999802327435039,2.5262325443327427
knn,176_UCR_Anomaly_insectEPG4_1300_6508_6558.txt,0.7378640776694032,0.8335464620630861,0.99009900990099,0.42720337607531234,0.7696456053989592,0.9984065679925994,2.1101121865212917
knn,034_UCR_Anomaly_DISTORTEDInternalBleeding6_1500_3474_3629.txt,0.8936170212761005,0.9807188383243125,1.0,0.9618959107806693,0.9565734778869796,0.9984352230748135,3.0219968631863594
knn,165_UCR_Anomaly_apneaecg4_6000_16000_16100.txt,0.01024967148486237,0.01561758875344001,0.0484613520717228,0.0047792183972369335,0.003413059388944272,0.5521023345456806,40.394981279969215
knn,031_UCR_Anomaly_DISTORTEDInternalBleeding20_2700_5759_5919.txt,0.8602150537629506,0.8600614439324117,1.0,0.8852941176470588,0.9519193717700807,0.9981546336206897,3.114896696060896
knn,166_UCR_Anomaly_apneaecg_10000_12240_12308.txt,0.9291338582672191,0.9880952380952381,0.38526912181303113,0.3852691218130312,0.9580743904286873,0.9998448364679815,123.5762291662395
knn,175_UCR_Anomaly_insectEPG3_5200_7000_7050.txt,0.23841059602621376,0.28709155136885484,0.4132231404958678,0.04024878589077277,0.09944083613832697,0.9559351305812973,2.334709946066141
knn,208_UCR_Anomaly_CHARISten_5130_27929_27989.txt,0.7307692307687426,0.8705039297272306,0.967741935483871,0.8504398826979473,0.717188795594293,0.9238784566517191,20.200265750288963
knn,146_UCR_Anomaly_Lab2Cmac011215EPG2_5000_27862_27932.txt,0.5025641025636423,0.5944921725849561,0.8536585365853657,0.571889731502357,0.34554136012313313,0.9959054892053285,20.701081458479166
